time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id
2018-06-09T21:45:21.340Z,19.4246674,-155.2651672,1.31,1.83,ml,18,126,0.003374,0.14,hv,hv70254667
2018-06-09T21:38:26.210Z,19.3756676,-155.2873383,1.41,1.84,ml,11,218,0.01204,0.24,hv,hv70254642
2018-06-09T21:37:14.470Z,38.8195,-122.8399963,2.23,1.05,md,8,94,0.0053,0.03,nc,nc73027991
2018-06-09T21:29:51.070Z,19.3973331,-155.2608337,0.25,2.03,ml,13,98,0.004989,0.11,hv,hv70254617
2018-06-09T21:29:08.560Z,19.4136658,-155.2853394,0.84,1.89,ml,15,71,0.004145,0.14,hv,hv70254612
2018-06-09T21:19:29.680Z,19.4153328,-155.2503357,1.11,2.28,ml,22,112,0.009567,0.3,hv,hv70254577
2018-06-09T21:13:47.178Z,60.1142,-153.6663,155.2,1.9,ml,,,,1.11,ak,ak19741940
2018-06-09T20:59:00.950Z,19.4098339,-155.2866669,0.15,1.7,ml,19,69,0.008156,0.11,hv,hv70254512
2018-06-09T20:56:27.650Z,34.0416667,-117.6171667,0.45,1.11,ml,10,137,0.1351,0.22,ci,ci38194840
2018-06-09T20:43:56.470Z,19.4173336,-155.2763367,0.44,2.13,ml,22,45,0.007332,0.21,hv,hv70254462
2018-06-09T20:43:04.145Z,36.9459,-117.7119,0,1,ml,10,219.13,0.292,0.1626,nn,nn00638983
2018-06-09T20:22:53.510Z,19.4188328,-155.2791595,1.41,1.87,ml,18,58,0.004803,0.16,hv,hv70254407
2018-06-09T20:17:03.770Z,19.376667,-155.2826691,3.76,1.84,ml,14,186,0.009855,0.2,hv,hv70254392
2018-06-09T20:09:48.130Z,36.4481667,-118.2388333,7.96,2.36,ml,16,143,0.1282,0.17,ci,ci38194816
2018-06-09T20:07:01.650Z,19.4060001,-155.2818298,0.34,1.74,md,10,122,0.0118,0.09,hv,hv70254352
2018-06-09T19:55:21.750Z,61.4954,-149.9812,46.2,2.3,ml,,,,0.7,ak,ak19741284
2018-06-09T19:50:04.930Z,-5.8487,151.8823,56.53,5.1,mb,,42,1.67,0.81,us,us1000ema9
2018-06-09T19:48:39.170Z,33.9876667,-117.8471667,23.69,1.9,ml,20,197,0.1091,0.31,ci,ci38194808
2018-06-09T19:45:43.970Z,55.6877,161.2485,114.68,4,mb,,151,3.072,0.46,us,us1000ema8
2018-06-09T19:42:27.830Z,19.3968334,-155.2611694,0.94,2.13,ml,19,91,0.004799,0.15,hv,hv70254297
2018-06-09T19:42:17.500Z,19.4099998,-155.2630005,1.82,1.88,ml,8,74,0.003606,0.16,hv,hv70254292
2018-06-09T19:38:27.220Z,19.5153332,-155.094162,4.24,2.39,ml,12,323,0.1795,0.31,hv,hv70254277
2018-06-09T19:33:50.170Z,33.181,-115.62,1.37,1.46,ml,12,108,0.003026,0.18,ci,ci38194800
2018-06-09T19:25:20.250Z,19.4276676,-155.2409973,0.27,2.13,ml,7,173,0.01938,0.29,hv,hv70254227
2018-06-09T19:22:47.340Z,19.555666,-155.14534,4.56,2.17,ml,12,338,0.1551,0.33,hv,hv70254217
2018-06-09T19:19:10.140Z,19.4083328,-155.2811737,-0.23,2.32,ml,25,44,0.009682,0.29,hv,hv70254212
2018-06-09T19:19:05.790Z,19.4038334,-155.2793274,0.57,2.15,ml,19,58,0.009985,0.27,hv,hv70254207
2018-06-09T19:08:56.840Z,33.5161667,-116.493,12.62,0.64,ml,22,118,0.05203,0.15,ci,ci38194792
2018-06-09T19:07:58.330Z,33.489,-116.7893333,4.6,0.44,ml,14,117,0.08772,0.07,ci,ci38194784
2018-06-09T19:05:55.710Z,19.4130001,-155.3265076,3.59,1.9,ml,33,46,0.02154,0.14,hv,hv70254167
2018-06-09T18:49:44.810Z,33.1796667,-115.6146667,1.57,2.23,ml,37,94,0.002338,0.26,ci,ci38194776
2018-06-09T18:41:09.010Z,34.2203333,-117.5431667,4.85,0.87,ml,26,47,0.03774,0.2,ci,ci38194768
2018-06-09T18:38:40.570Z,38.8344994,-122.784668,1.6,1.67,md,22,63,0.005907,0.03,nc,nc73027896
2018-06-09T18:30:24.920Z,33.5115,-116.5578333,14.44,0.72,ml,24,71,0.04068,0.13,ci,ci38194760
2018-06-09T18:29:20.800Z,38.8356667,-122.7838364,1.74,1.06,md,18,67,0.005773,0.02,nc,nc73027886
2018-06-09T18:18:09.150Z,19.4238338,-155.2704926,0.5,1.79,ml,13,102,0.00905,0.35,hv,hv70253997
2018-06-09T18:18:07.730Z,19.4150009,-155.2718353,-1.05,1.71,ml,17,52,0.01112,0.33,hv,hv70253992
2018-06-09T18:14:22.680Z,38.7746658,-122.7474976,1.28,2.22,md,34,81,0.0148,0.07,nc,nc73027876
2018-06-09T18:12:59.590Z,33.998,-116.844,16.58,2.34,ml,81,25,0.04773,0.19,ci,ci38194744
2018-06-09T17:58:22.790Z,19.4225006,-155.2671661,0.65,1.73,ml,19,89,0.004579,0.19,hv,hv70253912
2018-06-09T17:50:09.470Z,34.0756667,-117.4785,6.34,0.96,ml,19,67,0.0407,0.25,ci,ci38194736
2018-06-09T17:47:39.340Z,33.4963333,-116.7865,5.72,0.58,ml,22,47,0.08021,0.11,ci,ci38194728
2018-06-09T17:28:15.550Z,19.4048328,-155.2656708,-0.05,2.49,ml,30,53,0.009054,0.26,hv,hv70253827
2018-06-09T17:21:02.167Z,59.5382,-152.8364,82.3,2,ml,,,,0.42,ak,ak19739480
2018-06-09T17:09:53.593Z,36.9554,-117.7119,8.4,2.7,ml,36,77.63,0.279,0.2554,nn,nn00638972
2018-06-09T16:58:49.370Z,19.1875,-155.4846649,31.45,2,ml,35,77,0.03838,0.11,hv,hv70253737
2018-06-09T16:55:30.950Z,19.3985004,-155.2630005,-0.17,2.19,ml,20,60,0.002873,0.33,hv,hv70253727
2018-06-09T16:55:14.540Z,62.2384,-149.6843,34.1,1.7,ml,,,,0.6,ak,ak19739459
2018-06-09T16:55:01.310Z,19.4113331,-155.2813263,1.04,1.85,ml,11,106,0.006817,0.13,hv,hv70253722
2018-06-09T16:46:21.000Z,33.492,-116.7843333,6.02,0.64,ml,27,36,0.08308,0.16,ci,ci38194704
2018-06-09T16:43:45.700Z,19.3981667,-155.2638397,0.44,1.78,ml,18,98,0.002071,0.08,hv,hv70253682
2018-06-09T16:41:57.350Z,33.5253333,-116.7453333,4.22,0.66,ml,21,50,0.04052,0.13,ci,ci38194696
2018-06-09T16:27:44.980Z,19.4165001,-155.2684937,0.68,1.88,ml,19,64,0.009242,0.1,hv,hv70253632
2018-06-09T16:27:18.770Z,19.4293327,-155.2904968,0.15,1.96,ml,15,150,0.008341,0.31,hv,hv70253627
2018-06-09T16:20:20.060Z,33.7916667,-116.9561667,13.51,0.69,ml,16,50,0.0915,0.22,ci,ci38194680
2018-06-09T16:18:33.789Z,65.8127,-149.8695,0,1.8,ml,,,,0.78,ak,ak19738882
